Tower,Flat Number
Tower A,001
Tower A,002
Tower A,003
Tower A,004
Tower A,101
Tower A,102
Tower A,103
Tower A,104
Tower A,201
Tower A,202
Tower A,203
Tower A,204
Tower A,301
Tower A,302
Tower A,303
Tower A,304
Tower A,401
Tower A,402
Tower A,403
Tower A,404
Tower A,501
Tower A,502
Tower A,503
Tower A,504
Tower A,601
Tower A,602
Tower A,603
Tower A,604
Tower A,701
Tower A,702
Tower A,703
Tower A,704
Tower A,801
Tower A,802
Tower A,803
Tower A,804
Tower A,901
Tower A,902
Tower A,903
Tower A,904
Tower A,1001
Tower A,1002
Tower A,1003
Tower A,1004
Tower A,1101
Tower A,1102
Tower A,1103
Tower A,1104
Tower A,1201
Tower A,1202
Tower A,1203
Tower A,1204
Tower A,1301
Tower A,1302
Tower A,1303
Tower A,1304
Tower B,001
Tower B,002
Tower B,003
Tower B,004
Tower B,101
Tower B,102
Tower B,103
Tower B,104
Tower B,201
Tower B,202
Tower B,203
Tower B,204
Tower B,301
Tower B,302
Tower B,303
Tower B,304
Tower B,401
Tower B,402
Tower B,403
Tower B,404
Tower B,501
Tower B,502
Tower B,503
Tower B,504
Tower B,601
Tower B,602
Tower B,603
Tower B,604
Tower B,701
Tower B,702
Tower B,703
Tower B,704
Tower B,801
Tower B,802
Tower B,803
Tower B,804
Tower B,901
Tower B,902
Tower B,903
Tower B,904
Tower B,1001
Tower B,1002
Tower B,1003
Tower B,1004
Tower B,1101
Tower B,1102
Tower B,1103
Tower B,1104
Tower B,1201
Tower B,1202
Tower B,1203
Tower B,1204
Tower B,1301
Tower B,1302
Tower B,1303
Tower B,1304
Tower C,001
Tower C,002
Tower C,003
Tower C,004
Tower C,101
Tower C,102
Tower C,103
Tower C,104
Tower C,201
Tower C,202
Tower C,203
Tower C,204
Tower C,301
Tower C,302
Tower C,303
Tower C,304
Tower C,401
Tower C,402
Tower C,403
Tower C,404
Tower C,501
Tower C,502
Tower C,503
Tower C,504
Tower C,601
Tower C,602
Tower C,603
Tower C,604
Tower C,701
Tower C,702
Tower C,703
Tower C,704
Tower C,801
Tower C,802
Tower C,803
Tower C,804
Tower C,901
Tower C,902
Tower C,903
Tower C,904
Tower C,1001
Tower C,1002
Tower C,1003
Tower C,1004
Tower C,1101
Tower C,1102
Tower C,1103
Tower C,1104
Tower C,1201
Tower C,1202
Tower C,1203
Tower C,1204
Tower C,1301
Tower C,1302
Tower C,1303
Tower C,1304
Tower D,001
Tower D,002
Tower D,003
Tower D,004
Tower D,101
Tower D,102
Tower D,103
Tower D,104
Tower D,201
Tower D,202
Tower D,203
Tower D,204
Tower D,301
Tower D,302
Tower D,303
Tower D,304
Tower D,401
Tower D,402
Tower D,403
Tower D,404
Tower D,501
Tower D,502
Tower D,503
Tower D,504
Tower D,601
Tower D,602
Tower D,603
Tower D,604
Tower D,701
Tower D,702
Tower D,703
Tower D,704
Tower D,801
Tower D,802
Tower D,803
Tower D,804
Tower D,901
Tower D,902
Tower D,903
Tower D,904
Tower D,1001
Tower D,1002
Tower D,1003
Tower D,1004
Tower D,1101
Tower D,1102
Tower D,1103
Tower D,1104
Tower D,1201
Tower D,1202
Tower D,1203
Tower D,1204
Tower D,1301
Tower D,1302
Tower D,1303
Tower D,1304
Tower E,001
Tower E,002
Tower E,003
Tower E,004
Tower E,101
Tower E,102
Tower E,103
Tower E,104
Tower E,201
Tower E,202
Tower E,203
Tower E,204
Tower E,301
Tower E,302
Tower E,303
