block,floor,unit,unit_id,unit_type,parent_unit,verified,note
?,?,LAUNDRY,?-LAUNDRY,non_residential,,observed,block not identified
?,?,N-A,?-N-A,non_residential,,observed,block not identified
?,?,ROOM-5,?-ROOM-5,non_residential,,observed,block not identified
?,?,UG-01,?-UG-01,non_residential,,observed,block not identified
?,?,UG-02,?-UG-02,non_residential,,observed,block not identified
?,?,UG-03,?-UG-03,non_residential,,observed,block not identified
?,?,UG-04,?-UG-04,non_residential,,observed,block not identified
P1,0,001,P1-001,flat,,observed,
P1,0,002,P1-002,flat,,observed,
P1,0,003,P1-003,flat,,observed,003 has no registered resident
P1,0,004,P1-004,flat,,observed,
P1,0,005,P1-005,flat,,observed,
P1,0,006,P1-006,flat,,observed,
P1,0,007,P1-007,flat,,observed,
P1,0,008,P1-008,flat,,observed,
P1,0,009,P1-009,flat,,observed,
P1,0,010,P1-010,flat,,observed,
P1,0,CASA-Villa-03,P1-CASA-Villa-03,villa,,observed,
P1,0,Casa-Villa-04,P1-Casa-Villa-04,villa,,observed,
P1,0,Casa-Villa-07,P1-Casa-Villa-07,villa,,observed,
P1,1,101,P1-101,flat,,observed,
P1,1,102,P1-102,flat,,observed,
P1,1,103,P1-103,flat,,observed,
P1,1,104,P1-104,flat,,observed,
P1,1,105,P1-105,flat,,observed,
P1,1,106,P1-106,flat,,observed,
P1,1,107,P1-107,flat,,observed,
P1,1,108,P1-108,flat,,observed,
P1,1,109,P1-109,flat,,observed,
P1,1,110,P1-110,flat,,observed,
P1,1,111,P1-111,flat,,observed,
P1,2,201,P1-201,flat,,observed,
P1,2,202,P1-202,flat,,observed,
P1,2,203,P1-203,flat,,observed,
P1,2,204,P1-204,flat,,observed,
P1,2,205,P1-205,flat,,observed,
P1,2,206,P1-206,flat,,observed,
P1,2,207,P1-207,flat,,observed,in directory but ABSENT from Add Home picker
P1,2,208,P1-208,flat,,observed,
P1,2,209,P1-209,flat,,observed,
P1,2,210,P1-210,flat,,observed,
P1,2,211,P1-211,flat,,observed,
P1,3,301,P1-301,flat,,observed,
P1,3,302,P1-302,flat,,observed,
P1,3,303,P1-303,flat,,observed,
P1,3,304,P1-304,flat,,observed,
P1,3,305,P1-305,flat,,observed,
P1,3,306,P1-306,flat,,observed,
P1,3,307,P1-307,flat,,observed,
P1,3,308,P1-308,flat,,observed,
P1,3,309,P1-309,flat,,observed,
P1,3,310-311,P1-310-311,merged_flat,"310,311",observed,"two numbers, ONE door"
P1,4,401,P1-401,flat,,observed,
P1,4,402,P1-402,flat,,observed,
P1,4,403,P1-403,flat,,observed,
P1,4,404,P1-404,flat,,observed,
P1,4,405,P1-405,flat,,observed,
P1,4,406,P1-406,flat,,observed,
P1,4,407,P1-407,flat,,observed,
